Heading,Content
Facts & FAQs,"Who can get a rapid test from NU? Current faculty, staff, and students may pick up a take home kit.  Where are rapid tests available for pick up? Faculty, staff, and students can pick up tests at Curry Campus Crossroads and UHCS.  Are the results reported anywhere? No. When you pick up your test, you will receive an email with information about what to do if you test positive. COVID-19 Isolation and Quarantine Guidance for the General PublicIsolation and quarantine are important steps to help stop the spread of COVID-19.  Will the participant notify Contact Tracing of a positive result? No.   What information will be required for pick up? Name, affiliation (faculty, staff, student), and Northeastern email address. We recommend that you bring your Northeastern University ID with you at pick-up.   My COVID-19 test is expired, can I still use it?  The Food and Drug Administration (FDA) amended the expiration date of many COVID-19 tests. Northeastern University Boston offers tests through FlowFlex, who are included in the approved expiration date changes. To learn more about your specific test, please visit the FlowFlex Covid-19 antigen home test shelf-life extension page.  "
Students,"For questions related to COVID-19 exposure or infection, please consult with your healthcare provider and the Massachusetts Department of Public Health’s guidelines for isolation and quarantine. You may also refer to the following FAQs: Students who test positive: Medical and mental health care and isolation guidance.  Students exposed to COVID-19: Quarantine duration, living with a roommate who tested positive, and what to do if you develop symptoms after exposure.  Student with symptoms of COVID-19: Medical and mental health care, testing and quarantine guidance, and what to do if you test negative but still have symptoms.  Students experiencing symptoms after exposure to COVID-19: Medical and mental health care and what to do while waiting for your test result.  "
Faculty and Staff ," Faculty and staff who test positive: Medical and mental health care and isolation guidance.  Faculty and staff exposed to COVID-19: Quarantine duration, sharing your household with someone who tested positive, and what to do if you develop symptoms after exposure.  Faculty and staff with symptoms of COVID-19: Medical and mental health care, testing and quarantine guidance, and what to do if you test negative but still have symptoms.  Faculty and staff experiencing symptoms after exposure to COVID-19: Medical and mental health care and what to do while waiting for your test result. If you believe you are experiencing an emergency, immediately contact NUPD at 617.373.3333 if you are on-campus and 911 if you are off-campus.We strongly recommend that all members of the Northeastern community are fully vaccinated against COVID-19."
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
National Resources,
Support ,"National Suicide Prevention Lifeline 800-273-TALKThe Trevor Project offers free 24/7 crisis intervention and support hotline, online chat, and texting service for LGBTQ+ youth. Call 1.866.488.7386  Text START to 678678 Samaritans  877-870-4673Crisis Text Line: Free 24/7 texting support with a Crisis Counselor.   U.S. and Canada: Text HOME to 741741         U.K.: Text HOME to 85258           Ireland: Text HOME to 086 1800 280 Trans Lifeline: Free 24/7 trans-led hotline that connects transgender people to the community, support, and resources they need to survive and thrive. Call 877.565.8860. Visit their website for online chat services The National Center for Post-Traumatic Stress Disorder (PTSD) has an online coach to help address symptoms of PTSD, including worry and anxiety, anger, sleep problems, hopelessness, trauma reminders, and more.National Eating Disorders Association (NEDA) has resources including a virtual forum, support groups, and a helpline. Call or text 800.931.2237 during hours of operation or text “NEDA” to 741741 to connect with a trained volunteer. "
Smoking Cessation,"In addition to the Ready To Quit! (RTQ) program  here at Northeastern, there are a variety of off-campus services that  you or a friend might find useful as they quit smoking. American Cancer Society(508) 270-4600American Lung Association(508) 947-7204Massachusetts Try-to-Stop Tobacco Resource Center(800) 879-8678Co-Dependents Anonymous (CoDA)(978) 952-6510"
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Resources by Location,
Boston,"MEDICALBeth Israel Deaconess Medical Center (BIDMC)1 Deaconess RoadBoston, MA 02215617-754-2400Brigham and Women’s75 Francis StreetBoston, MA 02115617-732-5500Mass Eye and Ear Infirmary (MEEI)243 Charles StreetBoston, MA 02114617-523-7900Massachusetts General Hospital (MGH)55 Fruit StreetBoston, MA 02114617-724-4100 Tufts Medical Center860 Washington StreetBoston, MA 02111617-636-5000URGENT CAREMass General Brigham Urgent Care – Brookline1285 Beacon Street, Brookline, MA 02446617-751-6205Open every day 9am-9pm Walk-in appointments OR schedule an appointment online in advance Mass General Brigham Urgent Care – Boston Common137 Stuart Street, Suite A-7, Boston, MA 02116(Inside City Place, next to Dunkin Donuts)Phone: 617-393-5059Open every day 9am-9pm Walk-in appointment or schedule an appointment online in advancePRIMARY CAREBrigham and Women’s HospitalAdvanced Primary Care Associates301 South Huntington AvenueGarden LevelJamaica Plain, MA 02130857-307-3300 Fenway HealthPrimary Care1340 Boylston StreetBoston, MA 02215617-927-6000 Harvard Vanguard Medical Associates165 Dartmouth StreetBoston, MA 02116617-859-5000Patient Registration at 1-800-249-1767 Massachusetts General Hospital (various locations)Primary Care55 Fruit StreetBoston, MA 02144800-711-4644 One Medical28 State StreetSuite 2860Boston, MA 02109617-903-5000 Tufts Medical CenterPrimary Care260 Tremont St.Biewend BuildingBoston, MA 02111617-636-5400 MENTAL HEALTHUniversity Health and Counseling Services (UHCS)70 Forsyth Street, Suite 135Boston, MA 02115Boston Evening Therapy1180 Beacon Street, Suite B & 1842 Beacon Street, Suite #202Brookline, MA 02446617-738-1480 Fenway Health1340 Boylston StreetBoston, MA 02215617-927-6000 Life Changes Group1330 Beacon St., Suite #202Brookline, Massachusetts 02446617-354-4450LifeStance Health (formerly Commonwealth Psychology)160 Commonwealth Ave., Suite U-3Boston, MA 02116617-259-1895Various sites Optimind Health800 Boylston St, 16th Floor,Boston, MA 02199617-507-1472"
Charlotte,"MEDICALAtrium Health’s Carolinas Medical Center1000 Blythe BoulevardCharlotte, NC 28203704-355-2000Various locations Atrium Health Mercy2001 Vail AvenueCharlotte, NC 28207704-304-5000 Novant Health200 Hawthorne LaneCharlotte, NC 28204704-384-4000URGENT CAREAtrium Health Urgent Care – University City9325 J.W. Clay Blvd. Suite 221Charlotte NC 28262704-863-9050Various locations Novant Health GoHealth Urgent Care Midtown445 South Kings DriveCharlotte, NC 28204980-308-0141 Various locationsPRIMARY CAREAtrium Health200 S. College Street, Suite 500Charlotte, NC 28202704-302-8800Various locations Tryon Medical PartnersCharlotte Plaza201 South College Street, 12th FloorCharlotte, NC 28244704-489-3010Various LocationsMENTAL HEALTHNovant Health Psychiatric Associates1900 Randolph Rd, Ste 800Charlotte, NC 28207-1110704-210-5061Various locations University Psychological Associates10001 Old Concord RoadCharlotte, NC 28213 704-547-1483Various locations  Psychological Services of Charlotte 1923 JN Pease Place Suite 204 Charlotte, NC 28262704-503-3535Various locations Southeast Psych15720 Brixham Hill AvenueSuite 150Charlotte, NC 28277704-970-4791Various locations Eastover Psychological & Psychiatric Group, P.A.3303 Latrobe DriveCharlotte, NC  28211704-362-2663 Presbyterian Psychological Services5203 Sharon RoadCharlotte, NC 28210704-554-9900"
London,"MEDICAL, URGENT and PRIMARY CARETo learn about medical care in the UK, including setting up a general practitioner, click here.MENTAL HEALTHPause Counseling and psychotherapyVarious locations and Zoom availableinfo.pausetherapy@gmail.comBritish Association for Counselling & Psychotherapy (BACP)The British Association for Counselling and Psychotherapy is the professional association for members of the counselling professions in the UK.United Kingdom Council for Psychotherapy (UKCP)A national register of psychotherapists and psychotherapeutic counsellors. "
Oakland ,"MEDICALAlta Bates Summit Medical Center 357 34th Street (Summit Campus ER) Oakland, CA 94609 (510) 869-6600  UCSF Benioff Children’s Hospital Oakland  747 52nd St Oakland, CA 94609 510-428-3000 URGENT CARE Carbon Health Urgent Care Oakland  411 Grand Ave Oakland, CA 94610 510-844-4097  Dignity Health GoHealth Urgent Care  3900 Piedmont Avenue Oakland, CA  94611 (415) 432-7899  Sutter Health Walk-In Care  5095 Telegraph Ave Oakland, CA  94609 (800) 972-5547 PRIMARY CAREMills Student Health Center MacArthur Blvd, CPM Oakland, CA 94613 510-431-1108  Sutter Health Oakland Care Center 350 30th Street Oakland, CA 94609 510-204-8290  UCSF Berkeley Outpatient Center 3100 San Pablo Ave.  Berkeley, CA 94702 510-985-5020  Carbon Health Alameda Landing 2690 Fifth Street, Suite B Alameda, CA 94501 510-439-9447 MENTAL HEALTHPacific Center for Human GrowthIndividual, Family, and Couples Therapy. LGBTQ+ specialization, HIV+ MH services, Peer-led groups2712 Telegraph Ave. Berkeley 94705(510) 548-8283The Wright Institute Therapy and psychological assessments Multiple sites in Berkeley CA(510) 868-2260The Psychotherapy InstituteLong-term individual therapy; sliding scale $25-902232 Carleton St.Berkeley, CA(510) 548-2250Sankofa Holistic Counseling Services Counseling For Individuals, Couples & Family and Coach; Focus on working with Black clients614 Grand Ave  Suite 203Oakland CA 94610(510) 433-0244Bay Area Trauma Recovery ClinicIndividual Therapy; Managing Strong Emotions Group; Trauma Recovery Group3220A Sacramento St, Berkeley (510) 660-1493 "
Portland," MEDICAL Maine Health110 Free StPortland, ME 04101207-661-7001 Greater Portland Health100 Brickhill AveSouth Portland, ME 04106207-874-2141Multiple locations Mercy Hospital175 Fore River ParkwayPortland, ME 04102207-879-3000Multiple locations URGENT CARE AFC Urgent Care South Portland230 Waterman DrSouth Portland, ME 04106207-358-3188 ConvenientMD Urgent Care191 Marginal Way Suite APortland, ME 04101207-517-3838 Maine Medical Center Urgent Care Plus335 Brighton AvePortland, ME 04102207-662-0111 PRIMARY CARE Portland Direct Primary Care27 Ocean St #3South Portland, ME 04106207-200-4519 Maine Medical Center: Internal Clinic22 Bramhall StPortland, ME 04102207-662-2911 Maine Medical Partners – Portland Family Medicine272 Congress StPortland, ME 04101207-874-2466 Mercy Primary Care144 State St # 5Portland, ME 04101207-879-3000 MENTAL HEALTH Behavioral Health Resources395 Commercial Street Suite 103Portland, ME 04101207-808-1384 Maine Behavioral Healthcare78 Atlantic PlaceSouth Portland, ME 04106844-292-0111 Mental Health Associates of Maine251 Woodford StPortland, ME 04103207-773-2828 Spurwink’s Portland Help Center901 Washington Ave #100Portland, ME 04103888-889-3903"
Silicon Valley ," MEDICAL Kaiser Permanente250 Hospital ParkwaySan José, CA 95119408-972-3000 Santa Clara Valley Medical Center751 S. Bascom AveSan José, CA 95128408-885-5000 O’Connor Hospital2105 Forest AveSan José, CA 95128408-947-2500 Good Samaritan Hospital2425 Samaritan DrSan José, CA 95124408-559-2011Carbon Health250 Hospital PkwySan José, CA 95124 408-972-3000Multiple locations  URGENT CARE Action Urgent Care1432 W San Carlos Street, Ste. 10San José, CA 95126408-610-2611Various locations Samaritan Medical Care Center554 Blossom Hill RoadSan José, CA 95123408-281-2772 Evergreen Urgent Care2365 Quimby Rd, Suite 160San José, California 95122408-550-2750 San Jose Medical Group625 Lincoln AvenueSan José, CA 95126408-871-5260 PRIMARY CARE Asian Americans for Community Involvement (AACI)2400 Moorpark Ave., Suite 300San José , CA 95128408-975-2730Skyport Medical Offices1721 Technology Drive3rd floor, Dept 320San José, CA 95110408-436-4350 Stanford Primary Care in Santa Clara2518 Mission College Blvd #101Santa Clara, CA 95054408-688-9720Various locations Collaborative Primary CareStanford Health care14251 Winchester BlvdSuite 200Los Gatos, CA 95032408-426-5540 MENTAL HEALTH National Psychiatric Care And Rehabilitation ServicesKaiser Permanente Affiliate650 S 5th StSan Jose, CA 95112408-457-6284 Almaden Valley Counseling Service6529 Crown Blvd., Suite DSan José, CA 95120408-997-0200 Momentum Outpatient2001 The AlamedaSan José, Ca, 95126(408) 261-7777"
Seattle," MEDICAL University of Washington Medicine1550 N 115th StreetSeattle, WA 98133206-668-0500 Virginia Mason1100 Ninth Ave.Seattle, WA 98101206-223-6600 KaiserSeattle – Capitol Hill Campus201 16th Ave EastSeattle, WA 98112206-326-3000 Harborview Medical Center325 9th Ave.Seattle, WA 98104206-744-3000 URGENT CARE UW Urgent Care in Ballard1455 NW Leary Way, Suite 145Seattle, WA 98107206-789-7777Various locations   Queen Anne Urgent Care610 1st Avenue NorthSeattle, WA 98109206-283-9310 Kaiser Permanente Urgent CareCapitol Hill South Building201 16th Ave EastSeattle, WA 98112206-326-3223 PRIMARY CARE UW MedicineNorthwest Hospital and Medical Center10330 Meridian Ave. N Suite 230Seattle, WA 98133206-668-4737Various locations Kaiser PermaneteSeattle – Capitol Hill Campus201 16th Ave EastSeattle, WA 98112206-326-3530 Swedish510 Boren Ave NSeattle, WA 98109206-320-5200 MENTAL HEALTH Mosaic Counseling CollectiveFremont Office:753 N 35th St Suite #300 & #307Seattle, WA 98103Various locations Associates in Behavioral Health, P.L.L.C.509 Olive Way, Suite 204Seattle, WA 98101206-329-5255 Affiliated Mental Health Programs636 Lake Washington Blvd EastSeattle, Washington 98112206-322-5258 Cedar Tree Counseling Services4500 9th Ave NE, Suite 300Seattle, WA 98105206-855-3835"
Toronto," MEDICAL Mount Sinai Hospital600 University AvenueToronto, Ontario, Canada, M5G 1X5416-596-4200 Toronto General Hospital200 Elizabeth StreetToronto, ON, M5G 2C4416-340-3111 Women’s College Hospital76 Grenville StToronto, Ontario, Canada, M5S 1B2416-323-6400 Toronto Western Hospital399 Bathurst StreetToronto, Ontario, Canada, M5T 2S8416-603-5757 St. Michael’s36 Queen St. EastToronto, Ontario M5B 1W8416-360-4000 URGENT CARE MCI Doctor’s Office (The) – First Canadian Place  First Canadian Place100 King St W, Concourse Level, Toronto, ON  M5X 2A1416-867-1200Westside Medical Clinic2404 Eglinton Avenue WestTORONTO, ON M6M 1S6416-410-0505 Patient Networks157 Yonge StreetToronto, Ontario M5C 1X7416-362-8822 PRIMARY CARE St. Michael’sDepartment of Family and Community Medicine61 Queen St. E., 3rd floorToronto, Ontario M5C 2T2416-867-7426Various locations Union HealthUnion Health, 2, 25 York St Suite #206Toronto, ON M5J 2V5, Canada877-783-6782 MENTAL HEALTH Mind BeaconVirtual mental health careCBT Associates181 University Ave, Suite 1101Toronto, Ontario M5H 3M7800-304-8018 Cleveland Clinic Canada Downtown181 Bay StreetBrookfield Place, 30th FloorToronto , Ontario M5J 2T3 Canada416-507-6600 Integra Health Center 1320 – 130 King Street West(13th floor)Toronto, Ontario M5X 1C8647-492-1434Canadian Mental Health Association (CMHA)700 Lawrence Ave W, Suite #480Toronto, ON M6A 3B4416-789-7957Center for Addiction and Mental Health (CAMH)Downtown East393 King Street EastToronto ON – M5A 1L31-800-463-2338"
Vancouver," MEDICAL Burnaby Hospital3935 Kincaid StreetBurnaby, B.C.V5G 2X6604-434-4211Mount Saint Joseph Hospital3080 Prince Edward StVancouver, BC V5T 3N4, Canada604-874-1141 Seymour Medical Clinic1530 W 7th Ave.Vancouver, BC V6J 1S3, Canada604-738-2151St. Paul’s Hospital1081 Burrard Street Vancouver,BC, V6Z 1Y6604-682-2344Vancouver General HospitalJim Pattison Pavilion, 899 W 12th AveVancouver, BC V5Z 1M9, Canada604-875-4111 URGENT CARE City Centre Urgent and Primary Care Centre1290 Hornby StreetGround FloorVancouver, BC V6Z 0A3604-416-1811Burnaby Urgent and Primary Care CentreSuite 201, 7315 Edmonds StreetBurnaby, B.C.V3T 0M1604-519-3787 North Vancouver Urgent and Primary Care Centre221 West Esplanade #200 2nd FloorNorth Vancouver, BC V7L 1A5, Canada604-973-1600Northeast Vancouver Urgent and Primary Care Centre102-2788 East Hastings StreetVancouver, BC V5K 1Z9604-675-2599REACH Urgent and Primary Care Centre1145 Commercial DriveVancouver, BC V5L 3X3604-216-3138 PRIMARY CARE City Centre Urgent Primary Care Centre1290 Hornby StVancouver, BC V6Z 0A3, Canada604-416-1811 Coast Medical Clinic1018 Seymour StVancouver, BC V6B 3M6, Canada604-569-3632 Seymour Health Centre1530 W 7th AveVancouver, BC V6J 1S3, Canada604-738-2151 MENTAL HEALTH MindRight Counselling & Consulting1160 Burrard St #601Vancouver, BC V6Z 2E8, Canada604-369-3890 No Fear Counselling- West Pender402 W Pender St #808Vancouver, BC V3B 1T6, Canada778-288-8361 "
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
University Resources,
"Center for Spirituality, Dialogue, and Service (CSDS)","The Center for Spirituality, Dialogue, and Service attends to the spiritual needs of the Northeastern community. The Center builds partnerships across university departments and disciplines—and with religious communities and public service agencies locally, nationally, and internationally—to help students become engaged citizens, peace builders, and leaders prepared to tackle pressing global problems.Office: 203 Ell HallPhone: (617) 373-2728*Spiritual Advisors at CSDS are a confidential resource."
Disability Resource Center (DRC),"The Disability Resource Center is dedicated, in partnership with their diverse constituents, to being a model access office with state-of-the-art technology, cutting edge service provision, and exemplary customer service. The DRC serves Northeastern students who have documented disabilities as defined by the Americans with Disabilities Act as Amended (ADAAA) of 2008.Office: 20 Dodge HallPhone: (617) 373-2675TTY: Contact DRC via Relay 711"
Graduate Ombuds Office,The Graduate Ombudsperson is a confidential and impartial resource for students enrolled in graduate-level degree or certificate programs seeking to address concerns that may be impacting an aspect of their University experience. The Graduate Ombudsperson is independent from all other campus units and reaching out is always voluntary and off the record.                                                                                           Office: 027 Cullinane HallPhone: (617) 373-6904                                                                                                                               Cell: (617) 545-7989
Housing and Residential Life,Housing and Residential Life strives to create a safe and inclusive residential environment which develops and supports opportunities for intellectual and social development and prepares students to become purposeful contributors to our global society.Office: 4 Speare CommonsPhone: (617) 373-2814
Northeastern University Police Department (NUPD),The Northeastern University Police Department is a full service and accredited police agency comprised of Patrol and Investigative Divisions providing 24 hour a day service.Office: 716 Columbus PlaceEMERGENCY: (617) 373-3333NON-Emergency:  (617) 373-2121
"Office of Diversity, Equity and Inclusion (ODEI)","The Office of Diversity, Equity and Inclusion (ODEI) works as a central coordinating hub to provide strategic DEI leadership across the global university system to achieve the ideals of our vision.Office: 271 Huntington Ave., Suite 200 Phone: (617) 373-2133Fax: (617) 373-4146Email: diversity@northeastern.edu "
Office of Prevention and Education at Northeastern (OPEN),"The Office of Prevention and Education at Northeastern provides education, consultation and programming on topics related to alcohol and other drugs, sexual violence prevention and sexual health. OPEN seeks to provide supportive, accessible and non-judgmental services to students as well as to engage the community on wellness-related topics. Staff also provide confidential trauma-informed services through OPEN’s Sexual Violence Resource Center. Office: 307 Ell HallPhone: (617) 373-4459*Confidential Resource"
Office of Student Conduct and Conflict Resolution (OSCCR),"OSCCR is committed to engaging the Northeastern University community in supporting, understanding, and appreciating the standards for community behavior by promoting accountability for actions, encouraging responsible decision-making, providing a space for self-reflection, and instilling the values of integrity and civility.Office: 204 Ell HallPhone: (617) 373-4390"
Office of University Equity and Compliance (OUEC),"The OUEC is responsible for investigating and resolving all complaints of discrimination, harassment, and retaliation at Northeastern. The Assistant Vice President for University Equity and Compliance / Title IX Coordinator coordinates the University’s response to complaints involving all forms of discrimination.Office: 125 Richards HallPhone: 617.373.4644"
We Care,The We Care program is a support system that aids students when significant issues arise that impede their success. We Care assists departments in dealing with student crisis and provides information to faculty and staff who request guidance in identifying existing Northeastern resources and policies that can help students succeed.Office: 354 Richards HallPhone: (617) 373-7591
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Application Process,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Implications of MLOA,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Important Dates,
When can I apply for Medical Leave of Absence (MLOA)?,Students can apply for MLOA at any time during the term. Students cannot participate in classes after the last date to drop with a W. Please review the financial implication of MLOA application and the financial appeal process here. 
When can I apply for Re-entry from Medical Leave of Absence?,Students seeking to return from a medical leave are asked to submit the required paperwork approximately one month prior to the start of the term they wish to return. We cannot accept documentation before the date listed below as the most recent assessment of a student’s readiness to re-enter is necessary. Requests for re-entry from medical leave must be completed no later than one week prior to the beginning of the term. To review dates for last to add a course in the academic calendar.
Re-entry Process Timeline,"Students can submit documentation for re-entry during the following time periods. Requests for re-entry from medical leave must be completed no later than one week prior to the start of the term. Applications for re-entry after the below end dates, will not be reviewed. TermRe-entry Period BeginsRe-entry Period EndsWinter and Spring 2023 TermDecember 1, 2022January 2, 2023Summer I 2023April 1, 2023May 1, 2023Summer II 2023June, 1, 2023June 26, 2023Fall 2023August 1, 2023August 30, 2023"
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
What to Expect – Medical Leave of Absence,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
What to Expect – Re-entry from Medical Leave of Absence,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
Vaccines,
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
"Effective July 1, 2023","Hepatitis B (series of 3 shots)$108.00 (per shot)HPV (Gardasil, series of 3 shots)$310.00 (per shot)InfluenzaFreeMeningococcal vaccine (Menactra)$164.00Meningitis B (series of 2 shots)$210.00 (per shot)MMR (series of 2 shots)$115.00 (per shot)Quant Gold$55.00TDaP (required every 10 years)$62.00Titer Fee (Measles, Mumps, Rubella, Varicella, Hepatitis B)$26.00 (per titer)Vaccine Administration Fee$11.00Varicella/Chicken Pox$226.00"
"UHCS participates in the Massachusetts Immunization Information System (MIIS). To learn more, please see below. ","Massachusetts Immunization Information System (MIIS)   Massachusetts law (M.G.L. c. 111, Section 24M) requires providers to report immunization information to a computerized immunization registry known as the Massachusetts Immunization Information System (MIIS).  The MIIS stores immunization records for you and your clinician and can help prevent outbreaks of disease like measles and the flu.  All information in the MIIS is kept secure and confidential.  The MIIS allows information to be shared with health care providers, boards of public health and state agencies concerned with immunization.  You have the right to object to the sharing of your immunization information across providers in the MIIS. If you object, please complete this form and bring it to your appointment or submit it to uhcs@northeastern.edu.   For more information, visit the MIIS website at www.mass.gov/dph/miis or contact the Massachusetts Immunization Program MIIS Help Desk directly at 617-983-4335. The MIIS opt-out does not apply to reportable suspected and positive diseases.  "
Clinical Clearance,
Required Immunizations,"As you prepare begin your clinical rotation it is important to review the following list of immunizations and review compliance with all vaccines. If you are missing information, contact your primary care physician for review and treatment planningPlease note – A physical exam or statement of good health determining the ability to participate in any activity of choice may be required by Bouvé and should be provided to your advisor. Please work with your advisor to determine if there is a need for a statement of good health and contact your primary care physician for this documentation.  Consult your program information or advisor to learn about specific requirements. You may review the required immunizations for all Northeastern students, by visiting the UHCS Documentation of Immunity page on our website. "
Primary Care,"In preparation for clinical practice, students should review their health and immunizations status with their primary care doctor. As your treatment provider, your primary care will have access to your health record and can review the required immunizations to ensure compliance.Boston is home of many medical resources, below is a list of local primary care practices, where you can establish treatment, if needed.Brigham and Women’s HospitalAdvanced Primary Care Associates301 South Huntington AvenueGarden LevelJamaica Plain, MA 02130Phone: 857-307-3300Fenway HealthPrimary Care1340 Boylston StreetBoston, MA 02215Phone: 617-927-6000Harvard Vanguard Medical Associates165 Dartmouth StreetBoston, MA 02116Phone: 617-859-5000Patient Registration at 1-800-249-1767Holtzman Medical Group1180 Beacon St – Suite BBrookline, MA 02446Book online yourself.Fill out the online form if you want their office to call you to scheduleAppointments@HoltzmanMedical.org781.770.4064Massachusetts General Hospital (various locations)Primary Care55 Fruit StreetBoston, MA 02144Phone: 800-711-4644One Medical28 State StreetSuite 2860Boston, MA 02109Phone:617-903-5000Tufts Medical CenterPrimary Care260 Tremont St.Biewend BuildingBoston, MA 02111Phone: 617-636-5400"
Northeastern University Immunizations,"The state of Massachusetts requires all University students to provide documentation of immunity from Hepatitis B, Measles, Mumps, Rubella, Meningitis, Tetanus, Diphtheria, Pertussis, and Varicella. Clinical placements may require other immunizations, outside of those required for the University. Students should speak with their advisor to learn more about site specific requirements."
Obtaining Clinical Clearance,"Clinical clearance is an expectation of all Bouvé College of Health Sciences students going on a clinical placement. Failure to complete the clearance, may result in a delay in your start or inability to participate in placement.UHCS offers antibody testing for those who are unable to obtain their medical information from the above sources. There is a fee associated with the titer tests and vaccines; to learn more about what UHCS offers please visit Shots and Immunizations."
Social Media,   Instagram  
Quick Links,   Contact Us  After Hours Care  Emergencies  OPEN’s Sexual Violence Resource Center  NUSHP  
UHCS participates in the Massachusetts Immunization Information System (MIIS),"Massachusetts Immunization Information System (MIIS)   Massachusetts law (M.G.L. c. 111, Section 24M) requires providers to report immunization information to a computerized immunization registry known as the Massachusetts Immunization Information System (MIIS).  The MIIS stores immunization records for you and your clinician and can help prevent outbreaks of disease like measles and the flu.  All information in the MIIS is kept secure and confidential.  The MIIS allows information to be shared with health care providers, boards of public health and state agencies concerned with immunization.  You have the right to object to the sharing of your immunization information across providers in the MIIS. If you object, please complete this form and bring it to your appointment or submit it to uhcs@northeastern.edu.   For more information, visit the MIIS website at www.mass.gov/dph/miis or contact the Massachusetts Immunization Program MIIS Help Desk directly at 617-983-4335. The MIIS opt-out does not apply to reportable suspected and positive diseases.  MIIS University Health ReportMassachusetts law (M.G.L. c. 111, Section 24M) requires providers to report immunization information to a computerized immunization registry known as the Massachusetts Immunization Information System (MIIS). "
Documentation of Immunity,
Required Vaccines,"Tdap (Tetanus-Diphtheria-Pertussis) Immunization within the last ten years is required. If a Tdap was received over ten years ago, either one Tdap or one Td vaccine is required. One Tdap is required if no previous Tdap has been received. Hepatitis B A Series of three doses or a positive titer is required1.  The second dose must be given at least one month after the first,   The third dose must be given at least two months after the second doses and at least four months after the first.  MMR (Measles, Mumps and Rubella) Two doses or a positive titre is required1.  The first dose must be given after the first birthday.   The second dose must be given at least twenty-eight days after the first.   Birth in the U.S. before 1957 is acceptable for establishing immunity only for non-health science students.  Varicella (Chickenpox) Two doses or a positive titre is required1.  The first dose must be given after the first birthday.   The second dose must be given at least twenty-eight days after the first.   A reliable history of chickenpox is also acceptable.   A reliable history of chickenpox includes a diagnosis of chickenpox, or interpretation of parent/guardian description of chickenpox, by a physician, nurse practitioner, physician assistant or designee.  Meningococcal (Meningitis) One dose of MenACWY vaccine is required for all full-time students twenty-one years of age or younger.   The dose of MenACWY vaccine must have been received on or after the student’s sixteenth birthday.   Doses received before the sixteenth birthday do not count towards this requirement.   Students may decline MenACWY vaccine after they have read and signed the MDPH Massachusetts Declination (Meningitis Waiver) and the Massachusetts Department of Public Health Fact Sheet.  1A “positive titre” is a result of a blood test that confirms immunity to a specific infectious illness."
Recommended Vaccines,"Influenza Submission of the flu shot administered during the current flu season (August 2023-March 2024). Meningitis B Bexsero: Two doses at least one month apart; or Trumenba: Three doses at 0, 3, and 6 month intervals Hepatitis A Two doses administered at least six months apart. HPV A two-dose schedule is recommended for people who get the first dose before their15th birthday. In a two-dose series, the second dose should be given 6–12months after the first dose (0, 6–12-month schedule). The minimum interval is five months between the first and second dose. If the second dose is administered after a shorter interval, a third dose should be administered a minimum of five months after the first dose and a minimum of 12 weeks after the second dose. COVID-19 Documentation of primary two dose series and one COVID-19 bivalent booster. "
Required vaccines,"Hepatitis B, Measles, Mumps, Rubella, Meningitis, Tetanus, Diphtheria, Pertussis, and Varicella. "
Recommended vaccines: ,"Influenza, Meningitis B, Hepatitis A, HPV and COVID-19. "
Do I need to submit my immunization record?,Students who are required to submit proof of immunity include: Students enrolled in Massachusetts Students enrolled in Oakland Global Scholars  London Scholars Foundation Year 
Graduate Students,"Graduate students at Northeastern global campuses (non-residential settings) are strongly encouraged to have immunizations against Hepatitis B, Measles, Mumps, Rubella, Meningitis, Tetanus, Diphtheria, Pertussis, and Varicella. It is also strongly encouraged that graduate students be vaccinated against Meningitis B, and Tuberculosis. According to the World Health Organization (WHO), TB is the world’s top infectious killer. It is a contagious airborne disease. About 87% of new TB cases occurred in 30 high TB burden countries, with more than two thirds of the global total in China, India, Nigeria, and three smaller countries. World Health Organization Tuberculosis Fact Sheet"
